customer_id,name,dob,gender,phone,email,signup_date,country,customer_risk_level,avg_txn_amount
92,Carrie Khan,1958-09-28,Other,3677240049,shawn88@example.com,2021-02-17,Tuvalu,2,4728.58
93,Julie Lee,1950-02-23,M,727-342-0549x32966,lcaldwell@example.org,2021-12-15,Lesotho,1,689.31
94,Adriana Reyes,1995-08-14,M,001-445-849-9045x30174,hannah45@example.net,2023-07-27,Cyprus,1,31.42
95,Karen Gibson,1985-08-31,M,(387)283-3918x78519,ashleyhernandez@example.com,2022-09-05,Timor-Leste,1,24.13
96,Michael Love,2001-05-06,M,287-907-2867,jennifer64@example.org,2025-03-29,Samoa,1,2133.25
97,Amber Cooper,1943-06-30,M,+1-801-770-4622,ywest@example.com,2022-09-01,Belgium,1,570.57
98,Scott Wilson,1988-04-24,F,723.400.4786x86337,jacob10@example.net,2025-05-27,Italy,4,4103.23
99,Austin Wheeler,1995-07-30,M,+1-603-506-7383x028,barbara53@example.com,2020-12-12,Turkey,1,8.68
100,Ms. Jennifer Hill,1958-08-26,F,+1-868-470-5685x6624,oallen@example.com,2022-01-13,Togo,1,2985.19
101,Suzanne Hart,1991-07-03,M,+1-982-763-4351,nicholsmaria@example.org,2022-01-16,Ethiopia,1,64.58
102,Lindsey Russo,1960-06-04,M,001-598-837-3540x33173,andrearowe@example.com,2024-01-09,Lao People's Democratic Republic,1,3144.88
103,Elizabeth Ward,2002-06-30,F,217.653.5560x932,mphillips@example.com,2025-05-09,Denmark,1,2.54
104,Danielle Pierce,1980-10-04,M,277-272-5228x728,landryelizabeth@example.org,2024-01-18,Isle of Man,2,14.45
105,Crystal Mann,1936-01-23,F,287.250.9977,hsmith@example.net,2021-12-26,Falkland Islands (Malvinas),1,111.38
106,Alicia Li,1993-06-01,M,(611)782-3398,laura15@example.com,2025-05-16,Kuwait,2,11978.37
107,Michael Evans,1945-10-15,F,+1-801-766-6870x0217,jacobsonsamantha@example.org,2025-08-15,Croatia,1,68.87
108,Anthony Jones,1972-12-22,F,+1-890-325-0392,francisco39@example.com,2025-08-20,Philippines,4,445.37
109,Perry Taylor,1945-06-28,F,650.916.3159x99650,jperez@example.com,2025-05-31,Jersey,1,32.2
110,Mary Miller,1975-01-07,M,711.342.6265,smithkyle@example.com,2022-05-25,Senegal,4,19456.02
111,Brandon Jordan,2004-07-23,M,(810)315-8199x56046,ashleyjackson@example.com,2023-02-10,Chile,4,162.5
112,Derrick Thomas,1957-07-28,M,(346)447-1543x79937,adam65@example.net,2021-12-30,Hong Kong,3,368.2
113,Jeffrey Colon,1953-05-05,F,759-837-5265x4793,lisa65@example.org,2023-08-14,Venezuela,3,79.84
114,Zachary White,1938-06-25,F,001-873-874-1672x4342,colecarla@example.net,2025-08-11,Iran,2,82.34
115,Tami Holt,1939-10-27,M,(789)811-3529x096,smithjonathan@example.net,2025-05-12,San Marino,2,49.69
116,Melissa Walker,1985-09-25,F,(479)782-5071x4611,matthew38@example.com,2025-03-24,Guernsey,2,796.9
117,Nathan Chavez,1943-12-17,F,801-905-1238x2825,laurensoto@example.org,2024-11-12,Northern Mariana Islands,5,23.43
118,Omar Ware,1996-01-02,F,001-366-403-3419,mark71@example.com,2024-06-28,Paraguay,1,10.56
119,Margaret Harper,1988-03-29,F,001-315-457-9249,david41@example.org,2024-12-23,Holy See (Vatican City State),3,4388.21
120,Jennifer Taylor,1987-01-15,F,(227)782-8274x22579,washingtonjames@example.com,2022-01-07,Monaco,1,44.5
121,Jennifer Vasquez,1995-03-23,F,921.990.3404x3842,armstrongjoseph@example.net,2025-02-11,Swaziland,1,38.15
122,Nicole Wolf,1994-11-20,M,+1-736-313-4074,hgrimes@example.org,2023-12-08,Cote d'Ivoire,1,574.53
123,Shannon Bishop,1993-02-02,F,(692)433-0958,tiffany44@example.net,2025-10-25,Ethiopia,3,152.46
124,Miss Anna Estes,1990-11-01,F,9424232536,courtney67@example.org,2025-03-11,North Macedonia,4,128.68
125,Paul Neal,1985-01-17,M,875.590.1751x863,sadams@example.com,2021-08-10,Mexico,2,5.84
126,Samuel Kramer,1941-05-28,F,8175012770,nicoleturner@example.com,2025-09-24,Bermuda,2,69.6
127,Jacob Mckee,1957-05-06,F,9643361103,brittneystone@example.com,2023-11-18,Algeria,2,43.72
128,Ruth Mcneil,1992-04-17,F,001-427-813-6111x554,darlenebyrd@example.org,2020-11-19,Marshall Islands,1,98.39
129,Matthew Alexander,1963-10-25,M,+1-826-797-3112x1965,johnnewman@example.org,2025-08-10,Micronesia,1,309.79
130,Melissa Abbott,1975-11-15,F,989.883.6403,allendanielle@example.org,2023-03-29,Marshall Islands,1,1219.84
131,Dr. Bonnie Valencia,1992-02-05,M,(282)871-0910x430,courtney86@example.com,2020-12-01,Reunion,1,280.08
132,Joshua Jensen,1972-07-30,Other,341-683-2856,pblair@example.org,2024-03-27,Ecuador,1,498.92
133,Audrey Salazar,1942-04-22,F,721-402-0275x8842,jessica10@example.com,2021-07-19,Sri Lanka,1,838.46
134,Austin Joseph,1945-04-22,F,378.550.7925x2419,williamsmichelle@example.org,2024-06-19,Aruba,5,261.88
135,Thomas White,1939-08-18,F,+1-763-353-6541,whitelinda@example.org,2024-10-29,Zimbabwe,1,2.35
136,John Campbell,1977-02-06,F,918-570-5349x49375,edwardrandolph@example.org,2024-03-23,Djibouti,1,1803.12
137,Ryan Wiley,1980-05-30,M,2644138367,christopher38@example.com,2025-06-03,Reunion,1,28.45
138,Paul Carpenter,2003-08-09,F,(661)699-0623,sara65@example.com,2023-12-26,Korea,1,91.5
139,Tony Taylor,1949-08-25,M,(712)577-5618,qparker@example.org,2023-02-16,Bermuda,2,392.78
140,Elizabeth Bush,1940-04-21,F,652.613.5680,anthonysullivan@example.com,2022-02-26,Moldova,1,117.79
141,Joel Lara,1953-11-04,Other,600-332-3651,osbornjames@example.net,2025-06-30,Kenya,1,113.69
142,Ryan Lamb,1951-06-29,F,8708296670,michaelodonnell@example.com,2021-11-29,Fiji,1,612.07
143,Amanda Harvey,1968-04-08,F,+1-547-268-7014x6263,wcasey@example.com,2024-08-10,Mayotte,4,26339.59
144,Keith Morris,1971-08-16,F,(705)593-0407,craigsandoval@example.com,2024-12-08,Martinique,1,211.34
145,Theresa Johnston,1987-09-06,F,(422)539-5590x599,lweaver@example.com,2021-04-16,Argentina,1,81.52
146,Kyle Smith,1999-11-14,M,2594325250,kimmathis@example.com,2021-08-01,Barbados,1,604.01
147,Mary Willis,1980-08-15,M,452-826-7528x9539,jessica42@example.org,2023-12-29,Saint Lucia,1,670.01
148,Tiffany Myers,1939-03-23,Other,(795)393-9172,michaelflores@example.net,2020-10-30,Turks and Caicos Islands,4,14.19
149,Meagan Daniel,1980-07-06,F,904.833.1541x006,nicolesnyder@example.com,2021-07-27,Guernsey,2,4.68
150,Ronald Kramer,1965-07-08,M,(371)704-0541,pamelamartin@example.org,2025-06-17,Mexico,2,309.02
151,William Barry,1939-01-13,M,(629)662-0153x36884,codylong@example.net,2021-08-10,Tajikistan,3,985.3
152,Isaac Patterson,1974-11-27,F,+1-997-931-0324x17146,christopher86@example.org,2024-12-28,Heard Island and McDonald Islands,4,6044.03
153,Jeremy Baker,1998-02-10,F,534-290-2115x869,acardenas@example.net,2024-01-23,Poland,1,87.32
154,Cynthia Evans,1988-07-19,M,001-508-598-9921x722,bradmiller@example.net,2024-11-08,Jordan,5,375.17
155,Lori Flowers MD,1943-12-09,F,268-868-5487,perryeddie@example.net,2022-07-14,Myanmar,1,187.39
156,Kristine Garcia,1973-10-02,M,+1-256-446-7997,richard99@example.net,2021-09-01,Puerto Rico,3,214.22
157,Steve Rivera,1967-02-25,F,9743505444,dennismccann@example.com,2024-03-26,Singapore,1,81.86
158,Jason Brewer,1960-05-24,Other,836.478.5082x148,thompsonnancy@example.org,2023-07-18,Taiwan,3,226.78
159,Jesus Hull,1961-11-30,F,457-986-1035x797,max41@example.com,2021-04-22,Antarctica (the territory South of 60 deg S),5,10303.54
160,Scott Chan,1963-12-26,M,433.446.8007,walkercharlene@example.com,2024-02-08,Rwanda,3,446.65
161,James Bailey,1969-02-10,F,774.689.6910,gabrielle71@example.com,2023-02-27,Falkland Islands (Malvinas),1,8.04
162,Debbie Dawson,1975-06-25,M,228.930.9652,jordan66@example.com,2023-08-01,Saint Pierre and Miquelon,2,425.0
163,Wendy Cabrera,1981-07-09,F,001-438-675-8428x2417,staceylam@example.net,2021-02-11,Benin,1,156.27
164,Patrick Parker,1979-11-28,F,(949)547-1709x991,dillonpatrick@example.com,2022-09-15,Isle of Man,1,4344.29
165,Brittany Gay,1981-06-15,M,(697)525-2175x25007,barbaramoore@example.org,2021-04-10,Bulgaria,1,662.62
166,Jennifer Sanford,1986-12-26,M,2082350583,jeremywiley@example.com,2024-07-03,Bulgaria,1,135.79
167,Kevin Jackson,1941-01-14,M,447-889-8562x5753,perezjessica@example.org,2021-09-09,Croatia,2,2461.71
168,Caroline Richardson,1939-11-26,M,(848)390-9010x0167,thomas23@example.net,2021-01-01,Poland,1,503.8
169,Matthew Bates,1971-07-24,M,+1-592-561-8914x117,marie35@example.net,2020-11-22,Ireland,1,4.12
170,Joshua Lozano,2000-03-26,M,530-901-1972x18114,joseph01@example.org,2023-04-30,Tunisia,3,3593.11
171,Heather Rhodes,1992-10-17,F,001-711-700-2255x7941,danielross@example.com,2021-02-24,Faroe Islands,1,40.8
172,Karen Fisher,1957-07-07,F,920-421-6979,nmaxwell@example.org,2024-02-05,Tokelau,3,2934.65
173,Mr. Stephen Alexander,1943-06-09,M,850-589-9358x891,rreed@example.net,2021-12-04,Hungary,1,97.33
174,Kristin Huerta,1942-03-30,Other,5287772175,brent38@example.net,2022-01-29,Honduras,1,433.64
175,Angela Wallace,1995-10-21,M,877-251-7016,petersenlatoya@example.net,2024-03-30,Northern Mariana Islands,1,790.94
176,Kristina Pena,1996-11-27,M,550-237-5899x75711,michael48@example.net,2023-05-29,Holy See (Vatican City State),1,7.03
177,Christopher Taylor,1990-07-05,M,549-733-1637,shermanbrandon@example.net,2021-09-20,Taiwan,1,13.15
178,Joanna Barrett,2003-06-09,M,(470)480-8697,dalesandoval@example.net,2021-11-11,Turkmenistan,3,616.79
179,Janice Petty,1968-08-08,M,765-547-2269x848,jasonklein@example.net,2023-07-21,Guatemala,2,69.61
180,Miss Tina Gordon,1978-09-10,M,001-315-287-9968x460,qthomas@example.org,2021-12-11,Cook Islands,1,41.64
181,Candace Mitchell,1968-12-01,M,(504)838-0571,williamrobles@example.net,2023-02-01,France,1,7.12
182,Jasmine Frye,1977-05-15,F,+1-500-543-9735,shane12@example.org,2021-03-19,Saint Pierre and Miquelon,1,70.27
183,Andrew Ramirez,1970-10-12,M,(429)740-5720,ayalacolleen@example.net,2025-03-09,Gabon,1,258.03
184,Krista Jones,1978-01-28,F,532.781.8268x86153,michael39@example.net,2024-12-27,Lebanon,3,2310.51
185,Veronica Smith,1981-11-28,F,639.293.0561x648,willie87@example.com,2025-08-04,Aruba,1,479.83
186,Cheryl Palmer,1947-11-17,M,(588)801-3361,burgesseric@example.com,2023-05-03,Saint Barthelemy,1,31.89
187,Benjamin Thompson,1969-02-06,M,+1-819-734-6676,pricedavid@example.org,2023-08-21,Norway,1,7930.73
188,Laurie Haynes,1944-09-11,F,(981)444-9147x660,derekmyers@example.net,2021-05-09,French Polynesia,1,56.42
189,Stephen Sanford,1985-08-07,F,8883210099,jason53@example.com,2022-01-15,United Kingdom,1,479.87
190,Clinton Jensen,1969-03-19,F,612.390.8781,corey97@example.com,2025-03-05,Guinea-Bissau,1,16.21
191,Cynthia Mitchell,1944-04-26,M,757.775.9492,ujackson@example.org,2021-11-27,Solomon Islands,1,1655.88
192,Margaret Hill,1983-09-29,M,(357)477-5478,wilkinsonmichele@example.org,2022-09-13,Uganda,1,1.08
193,Nicholas Sims,1945-01-29,M,6809996930,michaelwalker@example.net,2025-05-25,Saint Martin,1,14.16
194,Jonathan Davis,1984-05-03,F,703.292.8272x29927,kathleenhall@example.com,2023-04-17,Heard Island and McDonald Islands,1,29.96
195,Daniel Velez,1983-12-25,F,(477)800-5184x4989,pdiaz@example.org,2022-10-22,Maldives,1,698.66
196,Terry Black,1982-11-05,F,(677)590-8272x318,jacobcox@example.net,2022-12-15,Svalbard & Jan Mayen Islands,1,333.36
197,Jennifer Rivera,1950-03-30,M,477.439.2603x0299,macdonalddylan@example.org,2021-10-27,Eritrea,1,44.42
198,Jennifer Costa,1937-05-08,M,001-441-637-9772x3692,jennifercooper@example.com,2022-05-07,Nepal,1,1843.45
199,James Rodriguez,1962-05-10,Other,386.929.1279x90881,rachelryan@example.org,2021-05-26,Ukraine,2,4.67
200,Jacqueline Williams,2006-12-04,M,(637)865-9916x24731,jacob09@example.net,2024-06-26,British Indian Ocean Territory (Chagos Archipelago),2,897.49
201,Matthew Watts,1977-10-23,M,(851)526-9448x69594,jarnold@example.com,2025-03-27,Christmas Island,1,43.0
202,Karen Hinton,1981-09-07,M,001-262-413-7213x86589,aoconnell@example.org,2023-12-19,Swaziland,1,31.56
203,Kyle Davis,1970-08-16,Other,651.290.6698,daniellegonzales@example.org,2022-01-19,Thailand,1,0.99
204,Andrew Greene,2005-01-07,M,001-739-820-5302x146,hwillis@example.org,2025-03-22,Saint Pierre and Miquelon,1,352.95
205,Krista Barber,1982-03-11,M,(343)393-7690x426,matthew18@example.com,2021-05-26,Turkey,4,616.4
206,Laura Benson,1986-02-19,F,001-373-657-7907,reyeskristina@example.org,2025-05-23,Philippines,1,165.52
207,Jennifer Gomez,2007-09-20,M,4439416518,michael94@example.org,2022-10-09,Yemen,4,17165.5
208,Mr. Nicolas Salas II,1962-05-31,M,295.221.1179,uwatson@example.com,2022-06-07,Ukraine,2,3131.05
209,Katherine Joyce,2004-05-19,M,763-892-0867x808,stephenmartinez@example.net,2025-09-13,Kuwait,1,167.42
210,Alexandra Clark,1948-07-12,F,959-842-8434x79552,robertgoodwin@example.com,2023-07-02,Timor-Leste,1,0.64
211,Christopher Anderson,1965-12-04,F,943-286-6322,roberttaylor@example.net,2024-03-22,Maldives,1,12.27
212,Rachel Evans,1941-04-23,M,(612)703-4717x5455,jenkinsmichael@example.net,2025-05-11,New Caledonia,1,163.75
213,Marie Ryan,1973-07-20,F,(758)877-1694x722,esweeney@example.org,2022-07-05,Central African Republic,1,32.99
214,Evan Carter,1971-03-22,F,+1-464-575-9876x220,shelby13@example.org,2023-09-27,Indonesia,2,642.99
215,Timothy Kennedy,1942-02-21,F,8686114921,johnmitchell@example.net,2021-09-10,Brunei Darussalam,1,3.84
216,Carolyn Johnson,1983-05-20,Other,877-684-8728x29979,timothy31@example.com,2021-12-06,Gambia,3,37.49
217,Christopher Smith,2006-01-15,M,001-525-247-8077x40649,jacob86@example.com,2023-12-05,Egypt,1,136.7
218,Maria Clayton,1964-11-02,F,316-438-9448x463,keithwalsh@example.net,2022-03-16,Korea,1,117.9
219,Katherine Flores,1955-07-11,F,2805214427,hernandeztristan@example.com,2023-02-17,Italy,1,80.19
220,Kathleen Watson,1939-02-19,M,312-504-6187x23460,cwise@example.org,2023-06-20,Saint Pierre and Miquelon,1,123.31
221,Nicolas Davis,1963-03-09,F,764.252.0881x4743,teresayoung@example.com,2021-02-06,Greece,1,272.14
222,Donald Wilson,1967-11-26,F,4099792513,parksmatthew@example.net,2020-12-10,Bahamas,1,672.88
223,Christian Herrera,1949-06-07,M,(873)758-5730,johnwilliams@example.net,2021-04-28,Kazakhstan,1,63.08
224,Michael Lopez,1960-03-20,M,+1-455-974-9821,lori85@example.com,2025-07-27,Afghanistan,1,1098.61
225,Cody Smith,1984-05-14,F,001-793-851-8638x78294,daniel81@example.org,2025-02-12,Syrian Arab Republic,2,8.63
226,Andre Rodriguez,1960-11-23,F,209-767-8994,catherinejones@example.org,2021-12-02,Palau,1,103.0
227,Sandra Mcdonald,1943-01-29,F,(586)350-9480x141,hardyamanda@example.org,2024-12-29,Congo,3,49.22
228,Laura Meza,1991-04-28,M,001-419-957-6122x8685,rachel85@example.com,2025-04-16,Isle of Man,2,268.88
229,Erica Allen,1963-12-07,F,(484)657-7600x4908,evansjeffrey@example.com,2024-06-23,Angola,1,255.57
230,Kayla Duncan,1955-11-15,F,507-552-2459,lisa19@example.com,2023-03-01,Montenegro,3,2499.55
231,Misty Mcguire,1958-05-08,F,891.394.0961x0556,julieatkinson@example.org,2022-08-31,North Macedonia,1,13.39
232,Joseph Flores,1955-03-05,F,883-420-6799x81364,matthewalvarez@example.net,2024-01-26,Australia,1,22.2
233,Bradley Shaw,1952-07-23,F,001-327-683-7693x89833,kmorris@example.org,2025-06-24,Bouvet Island (Bouvetoya),2,83.56
234,Gregory Flores,1938-02-10,F,001-342-359-7927x03352,sanchezchristine@example.org,2024-05-01,Trinidad and Tobago,1,460.59
235,Michael Rodriguez,1996-01-26,M,405.238.3388x4879,qaguilar@example.net,2023-04-06,Aruba,1,1070.48
236,Duane Mccormick,1971-09-27,F,6708164510,tinaromero@example.net,2022-12-27,Bolivia,1,44.08
237,Mr. Brandon Gonzalez,1997-02-23,F,+1-400-238-4576,gabrielle54@example.org,2023-07-02,Macao,2,2035.74
